,Teks,Normalisasi_Teks,KBBI_Teks,Normal_Teks,Stopword_Removed_Teks,Clean,clean_teks
10,gue abis exfo td pake clay masknya the originote TBTB JERAWAT LANGSUNG MUNCUL FAK WKWKKWWK,gue abis exfo td pake clay masknya the originote tbtb jerawat langsung muncul fak wkwkkwwk,<norm> <norm> exfo td <norm> clay masknya the originote tbtb <norm> <norm> <norm> fak wkwkkwwk,saya habis exfo tadi pakai clay masknya the originote tbtb jerawat langsung muncul fak wkwkkwwk,habis exfo pakai clay masknya the originote tbtb jerawat langsung muncul fak wkwkkwwk,gue abis exfo td pake clay masknya the originote tbtb jerawat langsung muncul fak wkwkkwwk,"['habis', 'exfo', 'pakai', 'clay', 'masknya', 'the', 'originote', 'tbtb', 'jerawat', 'langsung', 'muncul', 'fak', 'wkwkkwwk']"
11,micellar water originote enak parah woy mana gede ,micellar water originote enak parah woy mana gede,micellar <norm> originote <norm> <norm> woy <norm> <norm>,micellar water originote enak parah woy mana gede,micellar water originote enak parah woy gede,micellar water originote enak parah woy mana gede,"['micellar', 'water', 'originote', 'enak', 'parah', 'woy', 'gede']"
12,Lanzuut aku pake cream blush buat blush dalem. Pilih yang warnanya peach pink gini biar muka lebih seger. Pakenya tipis aja dulu kalo kurang baru build lagi~ Btw cushion The Originote ditimpa cream product di atasnya pun dia gak geser samsek gak yang jadi keangkat gituu! https://t.co/e0WKu3aRcx,lanzuut aku pake cream blush buat blush dalem pilih yang warnanya peach pink gini biar muka lebih seger pakenya tipis aja dulu kalo kurang baru build lagi btw cushion the originote ditimpa cream product di atasnya pun dia gak geser samsek gak yang jadi keangkat gituu,lanzuut <norm> <norm> cream blush <norm> blush <norm> <norm> <norm> warnanya peach pink <norm> <norm> <norm> <norm> seger pakenya <norm> <norm> <norm> <norm> <norm> <norm> build <norm> btw cushion the originote <norm> cream product <norm> atasnya <norm> <norm> <norm> <norm> samsek <norm> <norm> <norm> keangkat gituu,lanzuut aku pakai cream blush buat blush dalem pilih yang warnanya peach pink gini biar muka lebih seger pakenya tipis saja dulu kalau kurang baru build lagi ngomong-ngomong cushion the originote ditimpa cream product di atasnya pun dia gak geser sama sekali gak yang jadi keangkat gituu,lanzuut pakai cream blush blush dalem pilih warnanya peach pink gini muka seger pakenya tipis build ngomong-ngomong cushion the originote ditimpa cream product atasnya geser keangkat gituu,lanzuut aku pake cream blush buat blush dalem pilih yang warnanya peach pink gini biar muka lebih seger pakenya tipis aja dulu kalo kurang baru build lagi btw cushion the originote ditimpa cream product di atasnya pun dia gak geser samsek gak yang jadi keangkat gituu,"['lanzuut', 'pakai', 'cream', 'blush', 'blush', 'dalem', 'pilih', 'warna', 'peach', 'pink', 'gin', 'muka', 'seger', 'pakenya', 'tipis', 'build', 'ngomongngomong', 'cushion', 'the', 'originote', 'timpa', 'cream', 'product', 'atas', 'geser', 'angkat', 'gituu']"
13,Photoism ni originate dari Korea. Harga negara asal diorang pun baru 7k won. Klu convert dlm RM24.80. ni harga negara lain klu converted into Malaysian Ringgit. Bapak la jauh gila beza nak cekik darah user ke apa ? Bawak masuk Malaysia igt nk supplykan demand tapi cehhhh https://t.co/onz1G9orSn,photoism ni originate dari korea harga negara asal diorang pun baru k won klu convert dlm rm ni harga negara lain klu converted into malaysian ringgit bapak la jauh gila beza nak cekik darah user ke apa bawak masuk malaysia igt nk supplykan demand tapi cehh,photoism <norm> originate <norm> <norm> <norm> <norm> <norm> diorang <norm> <norm> <norm> <norm> klu convert dlm rm <norm> <norm> <norm> <norm> klu converted into malaysian <norm> <norm> <norm> <norm> <norm> beza <norm> <norm> <norm> user <norm> <norm> <norm> <norm> <norm> igt nk supplykan demand <norm> cehh,photoism ini originate dari korea harga negara asal diorang pun baru ke won klu convert dlm rm ini harga negara lain klu converted into malaysian ringgit bapak lah jauh gila beza mau cekik darah user ke apa bawak masuk malaysia igt nk supplykan demand tapi cehh,photoism originate korea harga negara diorang won klu convert dlm rm harga negara klu converted into malaysian ringgit gila beza cekik darah user bawak masuk malaysia igt nk supplykan demand cehh,photoism ni originate dari korea harga negara asal diorang pun baru k won klu convert dlm rm ni harga negara lain klu converted into malaysian ringgit bapak la jauh gila beza nak cekik darah user ke apa bawak masuk malaysia igt nk supplykan demand tapi cehh,"['photoism', 'originate', 'korea', 'harga', 'negara', 'orang', 'won', 'klu', 'convert', 'dlm', 'rm', 'harga', 'negara', 'klu', 'converted', 'into', 'malaysian', 'ringgit', 'gila', 'beza', 'cekik', 'darah', 'user', 'bawak', 'masuk', 'malaysia', 'igt', 'nk', 'supplykan', 'demand', 'cehh']"
14,test wear cushion originote valid emang bagus makin sore bukannya kusam malah nambah cakep? trs the only cream blush lokal yg bnr2 tahan sehariaaaaaaan pollllllll itu sejauh ini cuma mop punya https://t.co/o98CypwrLA,test wear cushion originote valid emang bagus makin sore bukannya kusam malah nambah cakep trs the only cream blush lokal yg bnr tahan sehariaan poll itu sejauh ini cuma mop punya,test wear cushion originote <norm> <norm> <norm> <norm> <norm> bukannya <norm> <norm> nambah <norm> trs the only cream blush <norm> <norm> bnr <norm> sehariaan poll <norm> <norm> <norm> <norm> <norm> <norm>,test wear cushion originote valid emang bagus makin sore bukannya kusam bahkan nambah cakep terus the only cream blush lokal yang bnr tahan sehariaan poll itu sejauh ini cuma mop punya,test wear cushion originote valid emang bagus sore kusam nambah cakep the only cream blush lokal bnr tahan sehariaan poll mop,test wear cushion originote valid emang bagus makin sore bukannya kusam malah nambah cakep trs the only cream blush lokal yg bnr tahan sehariaan poll itu sejauh ini cuma mop punya,"['test', 'wear', 'cushion', 'originote', 'valid', 'emang', 'bagus', 'sore', 'kusam', 'nambah', 'cakep', 'the', 'only', 'cream', 'blush', 'lokal', 'bnr', 'tahan', 'sehariaan', 'poll', 'mop']"
15,step 1 pake compexion! ak pake cushion the originote‍️ ini coveragenya mantep banget kebetulan aku lagi ada beberapa PIH makanya cocok banget pake inii soalnya one tap udah cover seluruh wajah.. blendnya pelan2 aja dia gampang ko ga ngeblok.. sabar aja ngeblendnya jgn buru2 https://t.co/NUDo9H82y0,step pake compexion ak pake cushion the originote ini coveragenya mantep banget kebetulan aku lagi ada beberapa pih makanya cocok banget pake inii soalnya one tap udah cover seluruh wajah blendnya pelan aja dia gampang ko ga ngeblok sabar aja ngeblendnya jgn buru,<norm> <norm> compexion <norm> <norm> cushion the originote <norm> coveragenya mantep <norm> <norm> <norm> <norm> <norm> <norm> pih <norm> <norm> <norm> <norm> inii soalnya one <norm> udah cover <norm> <norm> blendnya <norm> <norm> <norm> <norm> <norm> <norm> ngeblok <norm> <norm> ngeblendnya jgn <norm>,step pakai compexion saya pakai cushion the originote ini coveragenya mantap banget kebetulan aku lagi ada beberapa pih makanya cocok banget pakai inii soalnya one tap sudah cover seluruh wajah blendnya pelan saja dia gampang ko ga ngeblok sabar saja ngeblendnya jangan buru,step pakai compexion pakai cushion the originote coveragenya mantap banget pih cocok banget pakai inii one tap cover wajah blendnya pelan gampang ko ngeblok sabar ngeblendnya buru,step pake compexion ak pake cushion the originote ini coveragenya mantep banget kebetulan aku lagi ada beberapa pih makanya cocok banget pake inii soalnya one tap udah cover seluruh wajah blendnya pelan aja dia gampang ko ga ngeblok sabar aja ngeblendnya jgn buru,"['step', 'pakai', 'compexion', 'pakai', 'cushion', 'the', 'originote', 'coveragenya', 'mantap', 'banget', 'pih', 'cocok', 'banget', 'pakai', 'ini', 'one', 'tap', 'cover', 'wajah', 'blendnya', 'pelan', 'gampang', 'ko', 'ngeblok', 'sabar', 'ngeblendnya', 'buru']"
16, untuk kedua mw ini dari segi remover kalo eyeliner bisa keangkat tapi kalo untuk maskara waterproof masih ada sisa sisa sedikit dan menurutku itu normal ya better kalo mau bersihin maskara pake oil base aja. the originote sea makeup https://t.co/WiwWkpSQ9L,untuk kedua mw ini dari segi remover kalo eyeliner bisa keangkat tapi kalo untuk maskara waterproof masih ada sisa sisa sedikit dan menurutku itu normal ya better kalo mau bersihin maskara pake oil base aja the originote sea makeup,<norm> <norm> mw <norm> <norm> <norm> remover <norm> eyeliner <norm> keangkat <norm> <norm> <norm> <norm> waterproof <norm> <norm> <norm> <norm> <norm> <norm> menurutku <norm> <norm> <norm> better <norm> <norm> bersihin <norm> <norm> oil <norm> <norm> the originote sea makeup,untuk kedua now watching ini dari segi remover kalau eyeliner bisa keangkat tapi kalau untuk maskara waterproof masih ada sisa sisa sedikit dan menurutku itu normal iya better kalau mau bersihin maskara pakai oil base saja the originote sea makeup,now watching segi remover eyeliner keangkat maskara waterproof sisa sisa menurutku normal iya better bersihin maskara pakai oil base the originote sea makeup,untuk kedua mw ini dari segi remover kalo eyeliner bisa keangkat tapi kalo untuk maskara waterproof masih ada sisa sisa sedikit dan menurutku itu normal ya better kalo mau bersihin maskara pake oil base aja the originote sea makeup,"['now', 'watching', 'segi', 'remover', 'eyeliner', 'angkat', 'maskara', 'waterproof', 'sisa', 'sisa', 'turut', 'normal', 'iya', 'better', 'bersihin', 'maskara', 'pakai', 'oil', 'base', 'the', 'originote', 'sea', 'makeup']"
17,Wts Preloved The Originote Cushion Harga 55k Shade : Light Warm Alasan jual karena salah shade baru dipake dua tap-tap buat semuka. Link oren https://t.co/EVCuzoTsGw Ada shopee video cari aja di profilku. #zonajajan #zonaBA #zonaBU #zonauang https://t.co/oavKqDy8WY,wts preloved the originote cushion harga k shade light warm alasan jual karena salah shade baru dipake dua taptap buat semuka link oren ada shopee video cari aja di profilku zonajajan zonaba zonabu zonauang,<norm> preloved the originote cushion <norm> <norm> shade light warm <norm> <norm> <norm> <norm> shade <norm> dipake <norm> taptap <norm> <norm> link <norm> <norm> shopee <norm> <norm> <norm> <norm> profilku zonajajan zonaba zonabu zonauang,wts preloved the originote cushion harga ke shade terang warm alasan jual karena salah shade baru dipake dua taptap buat semuka link oren ada shopee video cari saja di profilku zonajajan zonaba zonabu zonauang,wts preloved the originote cushion harga shade terang warm alasan jual salah shade dipake taptap semuka link oren shopee video cari profilku zonajajan zonaba zonabu zonauang,wts preloved the originote cushion harga k shade light warm alasan jual karena salah shade baru dipake dua taptap buat semuka link oren ada shopee video cari aja di profilku zonajajan zonaba zonabu zonauang,"['wts', 'preloved', 'the', 'originote', 'cushion', 'harga', 'shade', 'terang', 'warm', 'alas', 'jual', 'salah', 'shade', 'dipake', 'taptap', 'muka', 'link', 'oren', 'shopee', 'video', 'cari', 'profil', 'zonajajan', 'zonaba', 'zonabu', 'zonauang']"
18,[PRELOVED] the Originote: Toner Serum Moisturizer Lip Oil Serum NEGOTIABLE Tembalang Semarang Jawa Tengah https://t.co/INwQY4JI8d https://t.co/GEuuqm3Ooq,preloved the originote toner serum moisturizer lip oil serum negotiable tembalang semarang jawa tengah,preloved the originote <norm> <norm> moisturizer lip oil <norm> negotiable tembalang <norm> <norm> <norm>,preloved the originote toner serum moisturizer lip oil serum negotiable tembalang semarang jawa tengah,preloved the originote toner serum moisturizer lip oil serum negotiable tembalang semarang jawa,preloved the originote toner serum moisturizer lip oil serum negotiable tembalang semarang jawa tengah,"['preloved', 'the', 'originote', 'toner', 'serum', 'moisturizer', 'lip', 'oil', 'serum', 'negotiable', 'tembalang', 'semarang', 'jawa']"
19,ORIGINOTE SEMOGA ELU KAGA DRAMA ,originote semoga elu kaga drama,originote <norm> <norm> kaga <norm>,originote semoga kamu tidak drama,originote semoga drama,originote semoga elu kaga drama,"['originote', 'moga', 'drama']"
20,sunscreen originote bagus bgt ngurangin bruntusan,sunscreen originote bagus bgt ngurangin bruntusan,sunscreen originote <norm> bgt ngurangin bruntusan,sunscreen originote bagus banget ngurangin bruntusan,sunscreen originote bagus banget ngurangin bruntusan,sunscreen originote bagus bgt ngurangin bruntusan,"['sunscreen', 'originote', 'bagus', 'banget', 'ngurangin', 'bruntusan']"
21,Sunscreen spraynya originote perih bgt di mata anj seharian mata w berair krn perih apalagi pas td lg kelas bener2 nyiksa bgtttt,sunscreen spraynya originote perih bgt di mata anj seharian mata w berair krn perih apalagi pas td lg kelas bener nyiksa bgtt,sunscreen spraynya originote <norm> bgt <norm> <norm> anj <norm> <norm> <norm> <norm> <norm> <norm> <norm> <norm> td lg <norm> bener nyiksa bgtt,sunscreen spraynya originote perih banget di mata anj seharian mata w berair karena perih apalagi pas tadi lagi kelas benar nyiksa bgtt,sunscreen spraynya originote perih banget mata anj seharian mata w berair perih pas kelas nyiksa bgtt,sunscreen spraynya originote perih bgt di mata anj seharian mata w berair krn perih apalagi pas td lg kelas bener nyiksa bgtt,"['sunscreen', 'spraynya', 'originote', 'perih', 'banget', 'mata', 'anj', 'hari', 'mata', 'w', 'air', 'perih', 'pas', 'kelas', 'nyiksa', 'bgtt']"
22,Mayan sekale pas bgt stock abis hehe tadi fs jam 12 keknya masih fs the originote df https://t.co/WWmOozG41K,mayan sekale pas bgt stock abis hehe tadi fs jam keknya masih fs the originote df,mayan sekale <norm> bgt stock <norm> hehe <norm> fs <norm> keknya <norm> fs the originote df,mayan sekale pas banget stock habis he tadi fs jam kayaknya masih fs the originote df,mayan sekale pas banget stock habis he fs jam kayaknya fs the originote df,mayan sekale pas bgt stock abis hehe tadi fs jam keknya masih fs the originote df,"['mayan', 'sekale', 'pas', 'banget', 'stock', 'habis', 'he', 'fs', 'jam', 'kayak', 'fs', 'the', 'originote', 'df']"
23,Ngiler cushion originote wkwk,ngiler cushion originote wkwk,<norm> cushion originote wkwk,mau cushion originote wkwk,cushion originote wkwk,ngiler cushion originote wkwk,"['cushion', 'originote', 'wkwk']"
24,selasa 19 maret 2024 1 paket shopee + 1 reseller alhamdulillah https://t.co/tLA1w4Sjqn,selasa maret paket shopee reseller alhamdulillah,<norm> <norm> <norm> shopee reseller <norm>,selasa maret paket shopee reseller alhamdulillah,selasa maret paket shopee reseller alhamdulillah,selasa maret paket shopee reseller alhamdulillah,"['selasa', 'maret', 'paket', 'shopee', 'reseller', 'alhamdulillah']"
25,shocked bgt cushion the originote bagus bgt untuk first impression,shocked bgt cushion the originote bagus bgt untuk first impression,shocked bgt cushion the originote <norm> bgt <norm> first impression,shocked banget cushion the originote bagus banget untuk first impression,shocked banget cushion the originote bagus banget first impression,shocked bgt cushion the originote bagus bgt untuk first impression,"['shocked', 'banget', 'cushion', 'the', 'originote', 'bagus', 'banget', 'first', 'impression']"
26,gais kalian kalau yg mau beli originote di jangan di toko BeautyBestieYou itu KW gaiss di produknya emg review 5 semua tapi tenyata yang 1 tuh di hide https://t.co/o1EPmQKq5q,gais kalian kalau yg mau beli originote di jangan di toko beautybestieyou itu kw gaiss di produknya emg review semua tapi tenyata yang tuh di hide,gais <norm> <norm> <norm> <norm> <norm> originote <norm> <norm> <norm> <norm> beautybestieyou <norm> <norm> gaiss <norm> produknya emg review <norm> <norm> tenyata <norm> <norm> <norm> hide,gais kalian kalau yang mau beli originote di jangan di toko beautybestieyou itu imitasi gaiss di produknya emg review semua tapi tenyata yang tuh di hide,gais beli originote toko beautybestieyou imitasi gaiss produknya review tenyata hide,gais kalian kalau yg mau beli originote di jangan di toko beautybestieyou itu kw gaiss di produknya emg review semua tapi tenyata yang tuh di hide,"['gais', 'beli', 'originote', 'toko', 'beautybestieyou', 'imitasi', 'gaiss', 'produk', 'review', 'tenyata', 'hide']"
27,pengen pindah mois ke originote brightening gi bokek abiss:((,pengen pindah mois ke originote brightening gi bokek abiss,pengen <norm> mois <norm> originote brightening <norm> <norm> abiss,pengen pindah mois ke originote brightening gi bokek abiss,pengen pindah mois originote brightening gi bokek abiss,pengen pindah mois ke originote brightening gi bokek abiss,"['ken', 'pindah', 'mois', 'originote', 'brightening', 'gi', 'bokek', 'abiss']"
28,Jual cushion the originote shade medium neutral. Baru banget beli. Baru nyoba tapi kegelapan ga ketolong banget. 80rb aja #theoriginote #cushion #jualcushion https://t.co/6OLreE0cRs,jual cushion the originote shade medium neutral baru banget beli baru nyoba tapi kegelapan ga ketolong banget rb aja theoriginote cushion jualcushion,<norm> cushion the originote shade <norm> neutral <norm> <norm> <norm> <norm> nyoba <norm> <norm> <norm> ketolong <norm> rb <norm> theoriginote cushion jualcushion,jual cushion the originote shade medium neutral baru banget beli baru nyoba tapi kegelapan ga ketolong banget rb saja theoriginote cushion jualcushion,jual cushion the originote shade medium neutral banget beli nyoba kegelapan ketolong banget rb theoriginote cushion jualcushion,jual cushion the originote shade medium neutral baru banget beli baru nyoba tapi kegelapan ga ketolong banget rb aja theoriginote cushion jualcushion,"['jual', 'cushion', 'the', 'originote', 'shade', 'medium', 'neutral', 'banget', 'beli', 'nyoba', 'gelap', 'tolong', 'banget', 'rb', 'theoriginote', 'cushion', 'jualcushion']"
29,The originote atau skintific CUUUYYYYY ,the originote atau skintific cuuyy,the originote <norm> skintific cuuyy,the originote atau skintific cuuyy,the originote skintific cuuyy,the originote atau skintific cuuyy,"['the', 'originote', 'skintific', 'cuuyy']"
30,@unnesmenfess Serum Avoskin baru di pake 3 kali ya sesuai pict kondisinya ED di 11/24 (35k) Serum Npure ED 01/26 (20k) Serum Originote retinol ED 14/02/26 (30k) https://t.co/xrJYjP38AM,unnesmenfess serum avoskin baru di pake kali ya sesuai pict kondisinya ed di k serum npure ed k serum originote retinol ed k,unnesmenfess <norm> avoskin <norm> <norm> <norm> <norm> <norm> <norm> pict kondisinya ed <norm> <norm> <norm> npure ed <norm> <norm> originote retinol ed <norm>,unnesmenfess serum avoskin baru di pakai kali iya sesuai pict kondisinya edisi di ke serum npure edisi ke serum originote retinol edisi ke,unnesmenfess serum avoskin pakai kali iya sesuai pict kondisinya edisi serum npure edisi serum originote retinol edisi,unnesmenfess serum avoskin baru di pake kali ya sesuai pict kondisinya ed di k serum npure ed k serum originote retinol ed k,"['unnesmenfess', 'serum', 'avoskin', 'pakai', 'kali', 'iya', 'sesuai', 'pict', 'kondisi', 'edisi', 'serum', 'npure', 'edisi', 'serum', 'originote', 'retinol', 'edisi']"
31,@berrypeachsweet Kak mw originote masii ada ga??,berrypeachsweet kak mw originote masii ada ga,berrypeachsweet <norm> mw originote masii <norm> <norm>,berrypeachsweet kak now watching originote masii ada ga,berrypeachsweet kak now watching originote masii,berrypeachsweet kak mw originote masii ada ga,"['berrypeachsweet', 'kak', 'now', 'watching', 'originote', 'masii']"
32,@undipmenfess bisa sopi !!! The Originote 32k ajaaaa https://t.co/hjcoTAKOx7,undipmenfess bisa sopi the originote k ajaa,undipmenfess <norm> <norm> the originote <norm> ajaa,undipmenfess bisa sopi the originote ke ajaa,undipmenfess sopi the originote ajaa,undipmenfess bisa sopi the originote k ajaa,"['undipmenfess', 'sopi', 'the', 'originote', 'ajaa']"
33,babi juga ni originote gw mau hemat tp dia bikin promo b1g1 tapi sbnrnya gw lagi ga butuh gt tapi kyk lumayan bgt?!,babi juga ni originote gw mau hemat tp dia bikin promo bg tapi sbnrnya gw lagi ga butuh gt tapi kyk lumayan bgt,<norm> <norm> <norm> originote gw <norm> <norm> <norm> <norm> <norm> <norm> bg <norm> sbnrnya gw <norm> <norm> <norm> gt <norm> kyk <norm> bgt,babi juga ini originote saya mau hemat tapi dia bikin promo abang tapi sbnrnya saya lagi ga butuh begitu tapi seperti lumayan banget,babi originote hemat promo abang sbnrnya butuh lumayan banget,babi juga ni originote gw mau hemat tp dia bikin promo bg tapi sbnrnya gw lagi ga butuh gt tapi kyk lumayan bgt,"['babi', 'originote', 'hemat', 'promo', 'abang', 'sbnrnya', 'butuh', 'lumayan', 'banget']"
34,TONER ORIGINOTE CICA masih segel yak https://t.co/0kM579yIlo,toner originote cica masih segel yak,<norm> originote cica <norm> <norm> <norm>,toner originote cica masih segel yak,toner originote cica segel yak,toner originote cica masih segel yak,"['toner', 'originote', 'cica', 'segel', 'yak']"
35,Lip oilnya originote bagus banget,lip oilnya originote bagus banget,lip oilnya originote <norm> <norm>,lip oilnya originote bagus banget,lip oilnya originote bagus banget,lip oilnya originote bagus banget,"['lip', 'oilnya', 'originote', 'bagus', 'banget']"
