Text Filtering
"['scarlet', 'mahal', 'tim', 'sukses', 'originote', 'yaelah', 'yaelah']"
"['perih', 'banget', 'asli', 'coba', 'pakenya', 'dikit', 'ujung', 'aplikatornya', 'doang', 'perih', 'enggak kuat', 'parah', 'kasih', 'teman', 'coba', 'originote', 'mempan', 'enak', 'water', 'base', 'repurchase', 'kali']"
"['micellar', 'water', 'originote', 'pakai']"
"['teman', 'micella', 'water', 'facetology', 'originote', 'iya', 'tolong', 'reviewnya', 'cowok', 'bingung', 'banget', 'huhu']"
"['beli', 'serum', 'originote', 'banget']"
"['honest', 'review', 'pakai', 'pakai', 'originote', 'bohong', 'pakai', 'bulu', 'mata', 'langsung', 'patah', 'habis', 'gara-gara', 'jepit', 'bulu', 'mata', 'miniso', 'mua', 'notice', 'bulu', 'mata', 'bagus', 'doi', 'spill', 'serum']"
"['user', 'originote', 'ditanyatanya']"
"['cosrx', 'bagus', 'banget', 'iya', 'bjir', 'takut', 'enggak bisa', 'originote']"
"['originote', 'micellar', 'water', 'ukur', 'gede', 'ml', 'ribu', 'an', 'combo', 'kode', 'glowdm']"
"['now', 'watching', 'originote', 'enak', 'banget', 'mukaaa']"
"['habis', 'exfo', 'pakai', 'clay', 'masknya', 'originote', 'tbtb', 'jerawat', 'langsung', 'muncul', 'fak', 'wkwkkwwk']"
"['micellar', 'water', 'originote', 'enak', 'parah', 'woy', 'gede']"
"['lanzuut', 'pakai', 'cream', 'blush', 'blush', 'dalem', 'pilih', 'warna', 'peach', 'pink', 'muka', 'segar', 'pakenya', 'tipis', 'build', 'ngomong-ngomong', 'cushion', 'originote', 'timpa', 'cream', 'product', 'geser', 'angkat']"
"['photoism', 'originate', 'korea', 'harga', 'negara', 'orang', 'won', 'convert', 'rm', 'harga', 'negara', 'converted', 'into', 'malaysian', 'ringgit', 'gila', 'beza', 'cekik', 'darah', 'user', 'bawa', 'masuk', 'malaysia', 'igt', 'nk', 'supplykan', 'demand', 'cehhhh']"
"['test', 'wear', 'cushion', 'originote', 'valid', 'bagus', 'sore', 'kusam', 'cakep', 'only', 'cream', 'blush', 'lokal', 'tahan', 'sehariaaaaaaan', 'pollllllll', 'mop']"
"['step', 'pakai', 'compexion', 'pakai', 'cushion', 'originote', 'coveragenya', 'mantap', 'banget', 'pih', 'cocok', 'banget', 'pakai', 'one', 'tap', 'cover', 'wajah', 'blendnya', 'pelan', 'gampang', 'ngeblok', 'sabar', 'ngeblendnya', 'buru']"
"['now', 'watching', 'segi', 'remover', 'eyeliner', 'angkat', 'maskara', 'waterproof', 'sisa', 'sisa', 'normal', 'iya', 'better', 'bersihin', 'maskara', 'pakai', 'oil', 'base', 'originote', 'sea', 'makeup']"
"['preloved', 'originote', 'cushion', 'harga', 'shade', 'terang', 'warm', 'alas', 'jual', 'salah', 'shade', 'pakai', 'taptap', 'muka', 'link', 'oren', 'shopee', 'video', 'cari', 'profil']"
"['preloved', 'originote', 'toner', 'serum', 'moisturizer', 'lip', 'oil', 'serum', 'negotiable', 'tembalang', 'semarang', 'jawa']"
"['originote', 'moga', 'drama']"
"['sunscreen', 'originote', 'bagus', 'banget', 'ngurangin', 'bruntusan']"
"['sunscreen', 'spraynya', 'originote', 'perih', 'banget', 'mata', 'anjing', 'mata', 'air', 'perih', 'pas', 'kelas', 'nyiksa', 'banget']"
"['lumayan', 'sekale', 'pas', 'banget', 'stock', 'habis', 'he', 'fs', 'jam', 'kayak', 'fs', 'originote', 'df']"
"['cushion', 'originote', 'wkwk']"
"['selasa', 'maret', 'paket', 'shopee', 'reseller', 'alhamdulillah']"
"['shocked', 'banget', 'cushion', 'originote', 'bagus', 'banget', 'first', 'impression']"
"['gais', 'beli', 'originote', 'toko', 'beautybestieyou', 'imitasi', 'gaiss', 'produk', 'review', 'tenyata', 'hide']"
"['pengin', 'pindah', 'mois', 'originote', 'brightening', 'gi', 'bokek', 'habis']"
